event_id_cnty,notes,gold_label,gold_label_full,actor_type,actor_norm,actor_norm
CAO7870,"Around 1 June 2021, the military clashed with the Ambazonian Separatist fighters, coded to Kumbo (Kumbo, Bui, Nord-Ouest). Casualties unknown. The clashes were part of a military operation called 'Kumbo Clean' that had been ongoing since May 2021 to fight against separatist fighters.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4545,"On 12 April 2021, the military forces repelled a nightly attack of Boko Haram fighters in Djanpala village, assumedly in Mora subdivision (Mayo-Sava, Extreme-Nord). One assailant was killed, and foodstuffs retrieved.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13978,"Weapons seizure: On 14 July 2024, the military forces seized weapons from an unidentified group in Lariski arrondissement in Makary (Makary, Logone-et-Chari, Extreme-Nord). 14 rockets launchers, 3 rifles, explosives and ammunition were seized.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8950,"On 29 May 2022, the military forces ambushed and opened fire on 2 suspected Ambazonian Separatist fighters at an informal checkpoint in Mbve, coded to Kumbo (Kumbo, Bui, Nord-Ouest). A civilian on a bike was hit by a stay bullet and killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3903,"On 20 September 2020, the military forces opened fire on civilians in Obang village (Mezam, Nord-Ouest), killing 2.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6193,"On 21 June 2022, Cameroonian military forces clashed with Ambazonia separatist in Essu (Fungom, Menchum, Nord-Ouest) leading to the death of 1 separatist and 1 civilian was injured. She was taking to the hospital for treatment.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO7106,"On 22 February 2023, Cameroonian military forces ambushed four suspected Boko Haram (JAS) (likely) fighters who were transporting livestock along the Guederou - Grea road, coded to Guederou (Kolofata, Mayo-Sava, Extreme-Nord). 2 of the fighters were killed and the livestock scattered away.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3502,"On 23 July 2020, a fistfight escalated between workers of a travel agency and a gendarme who allegedly refused to pay a 100 CFA charge after using the toilet in Douala city (Wouri, Littoral). The gendarme was beaten to death, and another gendarme who attempted to rescue his colleague was also beaten and severely injured. Dozens of people were later arrested by the gendarmerie forces.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO13492,"On 20 May 2024, Boko Haram (JAS) (likely) militants attacked and killed a civilian along the Limani - Mora road, coded to Limani (Mora, Mayo-Sava, Extreme-Nord).",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO7486,"On 30 June 2023, commander of RMIA task force killed another military officer in the bush of Belo (Tubah, Mezam, Nord-Ouest). The two military officers had fought over stolen money during military raids in Babanki (coded as separate event).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14216,"On 1 May 2024, Ambazonian Separatists abducted two male civilians from their business facilities in Mambanda (Kumba III, Meme, Sud-Ouest) for selling Brasseries brewery products.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5650,"Looting: On 31 October 2021, Boko Haram fighters looted some houses in Amchide town, Kolofata subdivision (Mayo-Sava, Extreme-Nord), taking away 2 motorbikes and 2 phones.",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO12715,"On 4 January 2021, an unidentified armed group suspected of being Ambazonian Separatist fighters abducted civilians in Kita (Ekondo Titi, Ndian, Sud-Ouest).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO9981,"On 23 December 2022, Ambazonian Separatists abducted an unspecified number of motorbike riders along Kumba - Etam road, coded to Mambanda (Kumba 2, Meme, Sud-Ouest) and demanded for 200.000 CFA as ransom.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO4190,"On 4 January 2021, Ambazonian separatists burnt a transport truck, killed the driver and reportedly injured his assistant in Ewili village, around Buea (Fako, Sud-Ouest). They accused the victims of not respecting their stop order.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO12796,"On 28 October 2021, an unidentified armed group killed a civilian at mile 27 in Ndop (Ndop, Ngo-Ketunjia, Nord-Ouest). A gunshot was heard around 10pm and a corpse was later discovered in the area.",V,Violence against civilians,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO7608,"On 21 August 2023, the military forces (Rapid Intervention) fired several warning shots at suspected Boko Haram (JAS) (likely) militants in the direction of Igawa Doulo (Mora, Mayo-Sava, Extreme-Nord). There were no fatalities.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO8369,"On 23 December 2023, ISWAP or Boko Haram militants attacked and killed 4 pastoralists in Dor, near Waza (Waza, Logone-et-Chari, Extreme-Nord) and injured 4 others. The militants stole their herds of cattle.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO15382,"On 28 August 2024, Ambazonian Separatists from the Restoration Forces faction abducted a civilian at a private residence on Mayor Street in Buea (Buea, Fako, Sud-Ouest). The Separatists released him after his relatives paid 4.5 million Francs CFA to the Separatists.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO3479,"On 16 July 2020, Boko Haram attacked Amchide village (Mayo-Sava, Extreme-Nord) injuring one person and taking away a bicycle and two cell phones.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO5613,"On 19 October 2021, a traditional leader and his supporters tortured a pregnant woman and her children and paraded them on the streets of Buea town (Fako, Sud-Ouest) for being the ex-girlfriend of an Ambazonian separatist commander.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO10578,"Property destruction: On 5 May 2023, state security forces (coded as military) set a civilian home ablaze in Sop (Bui, Nord-Ouest). The reason for this is unknown.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO11236,"On 7 January 2024, the military forces fired multiple gunshots upon spotting Ambazonian Separatists from the Restoration Forces who were on motorcycles and armed with rifles in Munyenge (Muyuka, Fako, Sud-Ouest). No casualties.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14643,"On 28 June 2024, the security forces, coded as the military forces, clashed with the Ambazonian Separatists at the Separatist hideout in Mbenghahang, coded to Mbengwi (Mbengwi, Momo, Nord-Ouest) during an army operation. 1 soldier was killed and 3 Separatists were arrested.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15171,"On 2 October 2024, unidentified armed group abducted a monetary exchange officer between Ngarkawa and Nganatir (Blangoua, Logone-et-Chari, Extreme-Nord) for an unknown reason.",V,Violence against civilians,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO7021,"Property destruction: On 6 February 2023, Ambazonian Separatists set several vehicles including trucks and cargo vans on fire in Wowo (Ndu, Donga-Mantung, Nord-Ouest) for not respecting the Monday Ghost Town operation imposed by the separatists in the Anglophone region.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO12554,"On 6 August 2022, Ambazonian Separatists attacked a businessman in Teze, Mbengwi commune, coded to Mbengwi ( (Momo, Nord-Ouest). The militants accused him of having ties with state forces. No fatalities.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6031,"On 25 April 2022, Cameroonian military forces clashed with suspected Ambazonian separatists in Guzang (Batibo, Momo, Nord-Ouest), killing at least 8 people, 7 were suspected Ambazonian separatists fighters' elements and 1 civilian.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO5225,"Looting: On 9 May 2021, miliitary forces stormed civilian houses in the village of Bafia (Fako, Sud-Ouest). They broke into houses and looted the property of civilians.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3762,"On 13 October 2020, the military forces killed one person in Musang neighborhood of Bamenda town (Mezam, Nord-Ouest).",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO10435,"On 2 April 2023, state security forces (coded as military) shot and killed a male civilian in Bakem, Eyumodjock commune, coded to Eyumojock (Manyu, Sud-Ouest). The civilian was suspected to be an Ambazonian Separatist as he attempted to flee when he saw the military.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO11684,"On 26 June 2023, Ambazonian Separatists from the Restoration Forces shot and killed two members of the state security forces (coded as military) in Konye (Meme, Sud-Ouest). The soldiers had been previously abducted by the Separatists on 25 June 2023 (coded separately).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO7276,"Looting: On 15 May 2023, the Ambazonian Separatists looted traveling civilians along the Ngusi - Nyassosso road, coded to Nyassosso (Tombel, Kupe-Manenguba, Sud-Ouest). They demanded money from civilians for not respecting the separatist-imposed Monday lockdowns.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO14548,"On 17 June 2024, security forces, coded as military forces, arrested 25 civilians from their private residences on Ngassa Street in Fiango (Kumba 3, Meme, Sud-Ouest) for an unknown reason, and were taken to the military base for further investigation.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14196,"On 30 April 2024, the military forces physically assaulted at least 50 civilians in Efah (Belo, Boyo, Nord-Ouest) following the killing of a male civilian and subsequent abduction of the perpetrator. The soldiers also arrested 4 others accused of collaborating with the Ambazonian Separatists.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12285,"On 18 September 2023, the Gendarmerie forces beat 3 healthcare workers (1 male and 2 women) in Nforya, coded to Bafut (Bafut, Mezam, Nord-Ouest) leaving them severely injured. There were no fatalities. The healthcare workers were accused of treating and collaborating with Ambazonian Separatists.",V,Violence against civilians,state,Military Forces of Cameroon (1982-) Gendarmerie,State forces (Cameroon)
CAO14354,"Other: On 9 July 2024, lawmakers delayed parliamentary and local elections until 2026, after President Paul Biya's political party with the majority vote in the National Assembly voted in favour of the bill to extend the elections. Location coded to Yaounde (Yaounde 1, Mfoundi, Centre).",S,Strategic developments,state,Government of Cameroon (1982-),Other Actors
CAO5197,"On 2 June 2021, Ambazonian separatists kidnapped 3 people in Bamenda town, Bamenda 1 subdivision (Mezam, Nord-Ouest), for taking part in a demonstration against them two days earlier.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO10656,"On 18 May 2023, State security forces, coded as the military forces carried out a massive arrest of some 103 civilians in Tombel (Tombel, Kupe-Manenguba, Sud-Ouest) after armed clashes with the Ambazonian Separatists in the area.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12747,"On 1 May 2022, the military arrested a suspected Ambazonian separatist in (Bamenda 2, Mezam, Nord-Ouest) coded to Bamenda - Mankon and accused him of detonating an IED around the ceremonial ground after a remote detonation device was discovered on him.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO5272,"On 25 June 2021, the military forces raided Kumbo town (Bui, Nord-Ouest). They fired shots in the air, and at shops, as well as 10 cars and 20 motorbikes along the road, destroying them. No fatalities/casualties reported.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4095,"Property destruction: On 8 December 2020, suspected Ambazonian separatists burnt the house of the Mayor of Bamenda II, in Ntasen neighborhood of Bamenda town (Mezam, Nord-Ouest).",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5177,"On 27 May 2021, the military forces raided Kuvluh village, around Jakiri town (Bui, Nord-Ouest). They killed two people including an Imam, the victims were accused of collaborating with Ambazonia separatists.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15525,"On 4 September 2024, security forces, coded as the military and the self-defense militia, clashed with the Ambazonian Separatists from the Restoration Forces faction in Bai Panya (Kumba 1, Meme, Sud-Ouest). 3 Separatists and 1 civilian herbalist were killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO10823,"Detonation: On 17 January 2024, an IED that Ambazonian Separatists planted to target security forces was mistakenly detonated by the separatists on the Ngulu - Sop road in Ndu subdivision (Ndu, Donga-Mantung, Nord-Ouest), coded to Ndu, seriously injuring 3 separatists.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO15479,"Looting: On 2 September 2024, Ambazonian Separatists from the Restoration Forces faction extorted an unspecific amount of money from commercial transport and private vehicles along the road at the Mile 14 neighborhood in Dibanda (Buea, Fako, Sud-Ouest).",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO11642,"Non-violent activity: On 10 June 2023, Ambazonian Separatists blocked the Bamenda-Fundong road with stones at Baingo (Boyo, Nord-Ouest) in order to prevent a corpse from being transported along the road for a funeral. They later opened the room.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO14274,"On 31 May 2024, Ambazonian Separatists shot and killed a civilian at his farm in Kajifu (Akwaya, Manyu, Sud-Ouest).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO11825,"On 3 July 2022, Ambazonian Separatists abducted two workers of a government-owned agro-industrial company, (PAMOL) in Mabonji (Meme, Sud-Ouest).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO12273,"On 20 September 2023, Ambazonian Separatists from the Restoration Forces faction abducted a civilian from a residence in Molyko (Fako, Sud-Ouest). The victim was released on 21-9-23 after he paid an unspecified amount as ransom.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO11007,"On 28 November 2023, the military forces temporally detained and assaulted a motorcycle rider for about two hours at their vehicle checkpoint in Fundong (Fundong, Boyo, Nord-Ouest). The military forces accused the rider of lying about his identity. No information on injuries.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12605,"On 22 January 2021, the military forces Bafia (Fako, Sud Ouest). They broke into houses, attacked and arrested civilians.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15046,"On 26 July 2024, the military forces from the Rapid Intervention arrested 23 men and 5 women from their private residences in Banga Bakundu (Kumba 3, Meme, Sud-Ouest) during a search operation to dislodge Ambazonian Separatist hideouts in the area.",S,Strategic developments,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO7775,"On 3 September 2023, suspected Boko Haram (JAS) (likely) militants attacked Ldaman neighborhood in Mavoumai (Mokolo, Mayo-Tsanaga, Extreme-Nord). 2 civilians were killed, houses were looted and equipment stolen.",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO15434,"On 25 August 2024, the military forces from the Rapid Intervention shot and killed 1 civilian at the military base in Batibo (Batibo, Momo, Nord-Ouest). The soldiers had arrested the victim while accusing him of accommodating Ambazonian Separatists in his residence.",V,Violence against civilians,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO6111,"Around 24 May 2022, the Cameroonian military shot randomly in Mbve area of Kumbo (Kumbo, Bui, Nord-Ouest). The bullets went through some houses.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9612,"On 25 June 2022, military forces carried out an operation aimed to dislodge Ambazonian Separatists from their hideout in Baten, coded to Kumbo (Bui, Nord-Ouest). During the operation, 4 Separatists were killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14932,"On 16 September 2024, the military forces clashed with the Ambazonian Separatists in Kedjom Ketinguh (Tubah, Mezam, Nord-Ouest). 1 civilian woman was killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12000,"Other: On 18 October 2023, a member of the Rapid Intervention Battalion, who is also the traditional chief of Bwassa, threatened to expel from the Sud-Ouest region those who are from Nord-Ouest in Buea (Fako, Sud-Ouest). He accused those from Nord-Ouest of being responsible for the Anglophone Crisis and called on those from Sud-Ouest to support him. A video of the statements was shared on social media.",S,Strategic developments,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO14155,"On 24 April 2024, youths from Ntumbaw village and natives of Njirong village clashed in Njirong (Ndu, Donga-Mantung, Nord-Ouest) following a land dispute between the two villages.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO10486,"On 19 March 2023, Ambazonian Separatists abducted a pastor from a church which they entered in Tinechung, Mbengwi commune, coded to Mbengwi (Momo, Nord-Ouest). The victim was later released after paying an unspecified amount as ransom.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO9636,"On 4 June 2022, Ambazonian Separatists detonated a road-planted IED in Bamessing (Mezam, Nord-Ouest) targeting soldiers who had fired gunshots when they suspected the presence of fighters in the area. Shortly after the explosion, soldiers fired repelling shots against the fighters until they retreated. Casualties unknown.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO15428,"On 25 August 2024, security forces, coded as the military forces, beat and injured a group of 15 civilians along the main road in Ashing (Belo, Boyo, Nord-Ouest) accusing them of leaving a bag they suspected of carrying items used to manufacture IEDs near the military minor base.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6584,"On 25 September 2022, Cameroonian security forces arrested at least 60 people in Kourgui (Mora, Mayo-Sava, Extreme-Nord). 30 motorbikes without official documents were seized. The military were looking for armed group members.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13663,"On 14 April 2024, security forces, coded as the military forces, ambushed and clashed with the Ambazonian Separatists from the Restoration forces faction at a funeral ceremony in Matoh (Kumba 2, Meme, Sud-Ouest). 1 Separatist was killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8496,"On 6 February 2024, the Gendarmerie and a local self-defense militia arrested 27 civilians, suspected to be criminals from their private residences and seized their motorbikes in Blangoua (Blangoua, Logone-et-Chari, Extreme-Nord).",S,Strategic developments,state,Military Forces of Cameroon (1982-) Gendarmerie,State forces (Cameroon)
CAO13502,"Defusal: On 17 May 2024, the military forces defused an IED planted by an unidentified armed group along the Amchide - Maloumri road, coded to Amchide (Kolofata, Mayo-Sava, Extreme-Nord) that was discovered by civilians. There were no fatalities or injuries.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3244,"On 3 May 2020, a group of youths clashed with residents originating from the Northern regions of Cameroon, in Nkolmintag neighbourhood of Douala city (Wouri, Littoral). They accuse them of being behind armed robberies and aggressions in their neighbourhood.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO8757,"Looting: Around 17 March 2024 (as reported), an unidentified armed group suspected of being ISWAP or Boko Haram militants looted food items, clothing and 1 bicycle in Ganse (Kolofata, Mayo-Sava, Extreme-Nord).",S,Strategic developments,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO5459,"On 15 July 2021, unidentified gunmen shot and injured two people in Muea town, Buea subdivision (Fako, Sud-Ouest).",V,Violence against civilians,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO4188,"On 2 January 2021, Boko Haram attacked Mayo Moskota town (Mayo-Sava, Extreme-Nord), injuring one woman. The military forces intervened and repelled the assailants.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO11205,"On 16 November 2023, the military forces members fired multiple gunshots and arrested around 75 civilians at a funeral ceremony in Mbonge (Mbonge, Meme, Sud-Ouest). They accused the civilians of not reporting the presence of Ambazonian Separatists at the funeral site. No information on injuries.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15135,"Looting: On 28 September 2024, Boko Haram (JAS) (likely) militants looted and vandalized 3 tricycles along the Kerawa - Kolofata (Kolofata, Mayo-Sava, Extreme-Nord).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO12708,"On 1 January 2021, the Ambazonian Separatist fighters hoisted their flag at Jakiri Council causing a clash with the military forces in Jakiri (Jakiri, Bui, Nord-Ouest). There were no fatalities.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6533,"Looting: On 7 September 2022, suspected Boko Haram (JAS) fired sporadically on the RN1 by Galbi village, coded to Mora (Mora, Mayo-Sava, Extreme-Nord) causing herders to flee. The assailants stole 175 livestock.",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO12481,"On 22 July 2023, Ambazonian Separatists shot and injured a Fulani civilian in the arm when he ran upon seeing the Separatists mounting a vehicular checkpoint in Njimnkang (Donga-Mantung, Nord-Ouest). The victim escaped and was taken to the hospital for treatment.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6527,"Around 5 September 2022, the Cameroonian military forces (Rapid Intervention) arrested 2 female suppliers of Boko Haram (JAS) (likely) in Mora (Mora, Mayo-Sava, Extreme-Nord).",S,Strategic developments,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO6421,"Looting: On 30 August 2022, suspected Boko Haram (JAS) (likely) fighters looted livestock in Moskota (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO13369,"On 3 April 2024, Boko Haram (JAS) (likely) militants clashed with the military forces from the Rapid Intervention around Warawide (Kolofata, Mayo-Sava, Extreme-Nord). The fighters retreated after a few minutes of shooting. There were no fatalities.",B,Battles,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO6843,"Around 14 December 2022, the Cameroonian military forces clashed with Ambazonian Separatists fighters in Mankon (Bamenda - Mankon, Bamenda 2, Mezam, Nord-Ouest) leading to 1 separatist fighter killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12290,"On 18 September 2023, suspected Ambazonian Separatists abducted a student on her way to school in Bomaka (Buea, Fako, Sud-Ouest) and threatened to set her on fire if a ransom was not paid. They later released the girl after an unspecified amount of money was paid but her uniform was ripped off her body and burned.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO13340,"Around 1 May 2024 (as reported), the military forces clashed with the Ambazonian Separatists, coded to Bafut (Bafut, Mezam, Nord-Ouest). At least 1 Separatist was killed, including a 'General'.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO5718,"On 16 October 2021, the military forces shot and killed a student in Waindo village, Wum subdivision (Menchum, Nord-Ouest). He was accused of being in possession of a military uniform and some ammunition.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14345,"On 8 May 2024, the military forces from the Rapid Intervention Battalion clashed with Ambazonian Separatists during an operation their hideout in Besi (Batibo, Momo, Nord-Ouest). 2 militants were killed while others fled.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO4926,"On 29 September 2020, Ambazonian separatists engaged in fire fights with the military forces in Eyumojock town, Eyumodjock subdivision (Manyu, Sud-Ouest), resulting in 6 soldiers getting killed and over a dozen injured. One separatist fighter was also killed.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO15187,"On 29 September 2024, the military forces from the Rapid Intervention clashed with the Boko Haram (JAS) (likely) militants in Godigong (Mora, Mayo-Sava, Extreme-Nord) during a military operation. There were no fatalities.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO10301,"On 30 April 2023, state security forces, coded as military forces, invaded the hideout of Ambazonian Separatists and engaged them in an armed clash at Bia Bikom, coded to Mbonge (Meme, Sud-Ouest). Four separatists were killed, two state forces operatives were wounded, two motorbike belonging to the separatists were set ablaze and civilians in the area were displaced into the bushes.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13052,"Property destruction: Around 3 April 2024 (as reported), suspected ISWAP or Boko Haram militants removed sheet metal Roofs of schools and professional training buildings in Bargaram (Hile-Alifa, Logone-et-Chari, Extreme-Nord).",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO10605,"On 10 May 2023, state security forces (coded as military) shot a civilian in the leg in Lobange (Meme, Sud-Ouest) when he attempted to escape as they arrested him and two other civilians. They were accused of raising funds for Ambazonian Separatists. No additional information.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12459,"On 25 July 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists at a vehicular checkpoint in Bambalang (Ngo-Ketunjia, Nord-Ouest). The military seized weapons and motorcycles which belonged to the Separatists. Four Separatists were killed, and one civilian was injured.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO11875,"On 24 September 2023, an unidentified armed group shot and killed a bike rider beside a rice farm in Bamunka (Ngo-Ketunjia, Nord-Ouest) after having abducted him. They accused him of impersonating the armed group and extorting money from civilians.",V,Violence against civilians,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO8174,"On 3 December 2023, a mob killed a suspect who was accused of killing two people with knives in Obala (Obala, Lekie, Centre). The victim was burnt alive by the mob.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
CAO5779,"On 10 December 2021, the military forces engaged in fire fights with Ambazonian separatists in Mbengwi town (Momo, Nord-Ouest). The military forces arrested one farmer. Casualties unknown.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4272,"Looting: On 15 January 2021, military forces seized bikes from bike taxi riders during 'random raids' in Limbe town (Fako, Sud-Ouest).",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14550,"On 21 June 2024, Ambazonian Separatists from the Restoration Forces faction beat and killed a 14-year-old boy at the community primary school in Manko (Akwaya, Manyu, Sud-Ouest). It is suspected that the Separatists accused him of stealing drinks during the end of the school year celebrations.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6254,"On 2 July 2022, an explosive device planted by an unidentified armed group exploded at Mokolo market in Yaounde (Yaounde 1, Mfoundi, Centre) leading to 4 injured, including 2 severely. No fatalities.",E,Explosions/Remote violence,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO11075,"On 23 November 2023, the military forces ambushed Ambazonian Separatists from the Restoration Forces onboard a motorcycle in Konye (Konye, Meme, Sud-Ouest). The military forces members shot and injured one.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4521,"On 3 April 2021, Boko Haram fighters nightly attacked Goudjimdele village, Mora subdivision (Mayo-Sava, Extreme-Nord), killing 2 people.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO10497,"On 16 March 2023, state security forces (coded as military) fired shots at a vehicle, injuring some civilians, at a vehicular checkpoint in Ntarinkon (Bamenda - Mankon, Mezam, Nord-Ouest) after the driver failed to stop.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
